user_id,item_id,rating,title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
239748,0812541626,6,"The Runelords: The Sum of All Men (The Runelords, Book One)",David Farland,1999,Tor Fantasy,http://images.amazon.com/images/P/0812541626.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812541626.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812541626.01.LZZZZZZZ.jpg
18384,0060562080,7,"Under the Duvet : Shoes, Reviews, Having the Blues, Builders, Babies, Families and Other Calamities",Marian Keyes,2004,Perennial,http://images.amazon.com/images/P/0060562080.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060562080.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060562080.01.LZZZZZZZ.jpg
262607,0722540302,10,Transforming the Mind,Bstan-Dzin-Rgya-Mtsho,2000,Thorsons Publishers,http://images.amazon.com/images/P/0722540302.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0722540302.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0722540302.01.LZZZZZZZ.jpg
252518,0553210793,10,The Adventures of Huckleberry Finn (Bantam Classics),MARK TWAIN,1981,Bantam,http://images.amazon.com/images/P/0553210793.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553210793.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553210793.01.LZZZZZZZ.jpg
163973,0440208459,9,Burn Marks (V.I. Warshawski Novels (Paperback)),Sara Paretsky,1991,Dell,http://images.amazon.com/images/P/0440208459.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440208459.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440208459.01.LZZZZZZZ.jpg
65258,0373290810,7,"Doctor'S Wife (Harlequin Historical, No. 481)",Cheryl St. John,1999,Harlequin,http://images.amazon.com/images/P/0373290810.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373290810.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373290810.01.LZZZZZZZ.jpg
57205,0835907627,8,Choosing to Work: An Action-Oriented Job Finding Book,Leonard Cohen,1979,Prentice Hall,http://images.amazon.com/images/P/0835907627.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0835907627.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0835907627.01.LZZZZZZZ.jpg
96474,0399138994,6,Mr. Murder,Dean R. Koontz,1993,Putnam Pub Group,http://images.amazon.com/images/P/0399138994.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399138994.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399138994.01.LZZZZZZZ.jpg
12698,0140244824,8,Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,1996,Penguin Books,http://images.amazon.com/images/P/0140244824.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140244824.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140244824.01.LZZZZZZZ.jpg
192710,0525946829,7,Quentins,Maeve Binchy,2002,Dutton Books,http://images.amazon.com/images/P/0525946829.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525946829.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525946829.01.LZZZZZZZ.jpg
2954,0440236304,7,Currahee!:  A Screaming Eagle at Normandy,Donald R. Burgett,2000,Dell Publishing Company,http://images.amazon.com/images/P/0440236304.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440236304.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440236304.01.LZZZZZZZ.jpg
48217,0312262469,8,Last Scene Alive: An Aurora Teagarden Mystery (Aurora Teagarden Mysteries (Hardcover)),Charlaine Harris,2002,St. Martin's Minotaur,http://images.amazon.com/images/P/0312262469.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312262469.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312262469.01.LZZZZZZZ.jpg
135265,0373167644,7,"For Better For Bachelor (Harlequin American Romance, 764)",Nikki Rivers,1999,Harlequin,http://images.amazon.com/images/P/0373167644.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373167644.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373167644.01.LZZZZZZZ.jpg
208382,0345434471,10,L.A. Requiem,ROBERT CRAIS,2000,Ballantine Books,http://images.amazon.com/images/P/0345434471.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345434471.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345434471.01.LZZZZZZZ.jpg
185233,0425123448,5,High Treason,Robert J. Groden,1993,Berkley Pub Group,http://images.amazon.com/images/P/0425123448.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425123448.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425123448.01.LZZZZZZZ.jpg
251508,0517122707,9,A Confederacy of Dunces,John Kennedy Toole,1995,Outlet Books Company,http://images.amazon.com/images/P/0517122707.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0517122707.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0517122707.01.LZZZZZZZ.jpg
